"","x"
"1","BKK:2S"
"2","BKK:A"
"3","BKK:AAV"
"4","BKK:ABC"
"5","BKK:ABICO"
"6","BKK:ACAP"
"7","BKK:ACC"
"8","BKK:ADVANC"
"9","BKK:AEC"
"10","BKK:AEONTS"
"11","BKK:AF"
"12","BKK:AFC"
"13","BKK:AGE"
"14","BKK:AH"
"15","BKK:AHC"
"16","BKK:AIRA"
"17","BKK:AIT"
"18","BKK:AJ"
"19","BKK:AJD"
"20","BKK:AKP"
"21","BKK:AKR"
"22","BKK:ALUCON"
"23","BKK:AMANAH"
"24","BKK:AMARIN"
"25","BKK:AMATA"
"26","BKK:AMC"
"27","BKK:ANAN"
"28","BKK:AOT"
"29","BKK:AP"
"30","BKK:APCO"
"31","BKK:APCS"
"32","BKK:APURE"
"33","BKK:AQUA"
"34","BKK:ARIP"
"35","BKK:ARROW"
"36","BKK:AS"
"37","BKK:ASIA"
"38","BKK:ASIAN"
"39","BKK:ASIMAR"
"40","BKK:ASK"
"41","BKK:ASP"
"42","BKK:AUCT"
"43","BKK:AYUD"
"44","BKK:BA"
"45","BKK:BAFS"
"46","BKK:BANPU"
"47","BKK:BAT-3K"
"48","BKK:BAY"
"49","BKK:BBL"
"50","BKK:BCH"
"51","BKK:BCP"
"52","BKK:BDMS"
"53","BKK:BEAUTY"
"54","BKK:BEC"
"55","BKK:BEM"
"56","BKK:BFIT"
"57","BKK:BGT"
"58","BKK:BH"
"59","BKK:BIG"
"60","BKK:BIGC"
"61","BKK:BJC"
"62","BKK:BJCHI"
"63","BKK:BKD"
"64","BKK:BKI"
"65","BKK:BLA"
"66","BKK:BLAND"
"67","BKK:BOL"
"68","BKK:BR"
"69","BKK:BROCK"
"70","BKK:BROOK"
"71","BKK:BRR"
"72","BKK:BSBM"
"73","BKK:BSM"
"74","BKK:BTC"
"75","BKK:BTNC"
"76","BKK:BTS"
"77","BKK:BWG"
"78","BKK:CBG"
"79","BKK:CCET"
"80","BKK:CCN"
"81","BKK:CCP"
"82","BKK:CEN"
"83","BKK:CENTEL"
"84","BKK:CFRESH"
"85","BKK:CGD"
"86","BKK:CGH"
"87","BKK:CHARAN"
"88","BKK:CHG"
"89","BKK:CHO"
"90","BKK:CHOTI"
"91","BKK:CHOW"
"92","BKK:CHUO"
"93","BKK:CI"
"94","BKK:CIG"
"95","BKK:CIMBT"
"96","BKK:CITY"
"97","BKK:CK"
"98","BKK:CKP"
"99","BKK:CM"
"100","BKK:CMO"
"101","BKK:CMR"
"102","BKK:CNS"
"103","BKK:CNT"
"104","BKK:COL"
"105","BKK:COLOR"
"106","BKK:CPALL"
"107","BKK:CPF"
"108","BKK:CPH"
"109","BKK:CPI"
"110","BKK:CPL"
"111","BKK:CPN"
"112","BKK:CPNCG"
"113","BKK:CPNRF"
"114","BKK:CPR"
"115","BKK:CRANE"
"116","BKK:CSC"
"117","BKK:CSL"
"118","BKK:CSP"
"119","BKK:CSR"
"120","BKK:CSS"
"121","BKK:CTW"
"122","BKK:CWT"
"123","BKK:DCC"
"124","BKK:DCON"
"125","BKK:DCORP"
"126","BKK:DELTA"
"127","BKK:DEMCO"
"128","BKK:DIMET"
"129","BKK:DNA"
"130","BKK:DRACO"
"131","BKK:DRT"
"132","BKK:DSGT"
"133","BKK:DTAC"
"134","BKK:DTC"
"135","BKK:DTCI"
"136","BKK:E"
"137","BKK:EA"
"138","BKK:EARTH"
"139","BKK:EASON"
"140","BKK:EASTW"
"141","BKK:ECF"
"142","BKK:ECL"
"143","BKK:EE"
"144","BKK:EFORL"
"145","BKK:EGCO"
"146","BKK:EIC"
"147","BKK:EMC"
"148","BKK:EPCO"
"149","BKK:EPG"
"150","BKK:ERW"
"151","BKK:ERWPF"
"152","BKK:ESSO"
"153","BKK:ESTAR"
"154","BKK:EVER"
"155","BKK:F&D"
"156","BKK:FANCY"
"157","BKK:FE"
"158","BKK:FER"
"159","BKK:FIRE"
"160","BKK:FMT"
"161","BKK:FNS"
"162","BKK:FOCUS"
"163","BKK:FORTH"
"164","BKK:FPI"
"165","BKK:FSMART"
"166","BKK:FSS"
"167","BKK:FVC"
"168","BKK:GBX"
"169","BKK:GC"
"170","BKK:GCAP"
"171","BKK:GEL"
"172","BKK:GENCO"
"173","BKK:GFPT"
"174","BKK:GIFT"
"175","BKK:GJS"
"176","BKK:GL"
"177","BKK:GLAND"
"178","BKK:GLOBAL"
"179","BKK:GLOW"
"180","BKK:GOLD"
"181","BKK:GRAMMY"
"182","BKK:GRAND"
"183","BKK:GREEN"
"184","BKK:GSTEL"
"185","BKK:GUNKUL"
"186","BKK:GYT"
"187","BKK:HANA"
"188","BKK:HEMRAJ"
"189","BKK:HFT"
"190","BKK:HMPRO"
"191","BKK:HOTPOT"
"192","BKK:HPF"
"193","BKK:HTC"
"194","BKK:HTECH"
"195","BKK:HYDRO"
"196","BKK:ICC"
"197","BKK:ICHI"
"198","BKK:IEC"
"199","BKK:IFEC"
"200","BKK:IFS"
"201","BKK:ILINK"
"202","BKK:INET"
"203","BKK:INOX"
"204","BKK:INSURE"
"205","BKK:INTUCH"
"206","BKK:IRC"
"207","BKK:IRCP"
"208","BKK:IRPC"
"209","BKK:IT"
"210","BKK:ITD"
"211","BKK:IVL"
"212","BKK:JAS"
"213","BKK:JCT"
"214","BKK:JMART"
"215","BKK:JMT"
"216","BKK:JSP"
"217","BKK:JTS"
"218","BKK:JUBILE"
"219","BKK:JUTHA"
"220","BKK:KAMART"
"221","BKK:KASET"
"222","BKK:KBANK"
"223","BKK:KBS"
"224","BKK:KC"
"225","BKK:KCAR"
"226","BKK:KCE"
"227","BKK:KCM"
"228","BKK:KDH"
"229","BKK:KGI"
"230","BKK:KIAT"
"231","BKK:KKC"
"232","BKK:KKP"
"233","BKK:KOOL"
"234","BKK:KSL"
"235","BKK:KTB"
"236","BKK:KTC"
"237","BKK:KTIS"
"238","BKK:KTP"
"239","BKK:KWC"
"240","BKK:KYE"
"241","BKK:LALIN"
"242","BKK:LANNA"
"243","BKK:LDC"
"244","BKK:LEE"
"245","BKK:LH"
"246","BKK:LHBANK"
"247","BKK:LHK"
